Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
BE,2011,2011,2011,1,0,4,Re-Import,32,Argentina,ARG,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,5669532,,,0
BE,2011,2011,2011,1,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,55333873414,,,0
BE,2011,2011,2011,1,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,10722011762,,,0
BE,2011,2011,2011,1,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,199042765,,,0
BE,2011,2011,2011,1,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,35388732759,,,0
BE,2011,2011,2011,1,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,42260952229,,,0
BE,2011,2011,2011,1,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,397891264,,,0
BE,2011,2011,2011,1,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,68753955,,,0
BE,2011,2011,2011,1,0,3,Re-Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,68705069,,,0
BE,2011,2011,2011,1,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,2113125537,,,0
BE,2011,2011,2011,1,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,291213443,,,0
BE,2011,2011,2011,1,0,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,254010199,,,0
BE,2011,2011,2011,1,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,6439957434,,,0
BE,2011,2011,2011,1,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,94976724,,,0
BE,2011,2011,2011,1,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,534665195,,,0
BE,2011,2011,2011,1,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,34228045,,,0
BE,2011,2011,2011,1,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,15057916,,,0
BE,2011,2011,2011,1,0,4,Re-Import,51,Armenia,ARM,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,2944702,,,0
BE,2011,2011,2011,1,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,237030992,,,0
BE,2011,2011,2011,1,0,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,27784853,,,0
BE,2011,2011,2011,1,0,3,Re-Export,52,Barbados,BRB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,4253100,,,0
BE,2011,2011,2011,1,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,56577320803,,,0
BE,2011,2011,2011,1,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,53012729357,,,0
